Gene,NCBI_Gene_ID,Description,Function,GO_Terms,KEGG_Terms
TDA4,853580,N/A,"Predicted to be involved in lipid homeostasis. Located in endoplasmic reticulum. Orthologous to human TLCD4 (TLC domain containing 4). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
STE24,853581,N/A,"Enables metalloendopeptidase activity. Involved in several processes, including negative regulation of post-translational protein targeting to membrane, translocation; post-translational protein targeting to membrane, translocation; and protein maturation. Located in endoplasmic reticulum membrane and nuclear inner membrane. Used to study metabolic dysfunction-associated steatotic liver disease; progeria; restrictive dermopathy; and type 2 diabetes mellitus. Human ortholog(s) of this gene implicated in mandibuloacral dysplasia type B lipodystrophy; progeria; restrictive dermopathy; and restrictive dermopathy 1. Orthologous to human ZMPSTE24 (zinc metallopeptidase STE24). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ILM1,853582,N/A,"Involved in mitochondrial genome maintenance. Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
JHD2,853583,N/A,"Enables histone H3K4 demethylase activity. Involved in several processes, including antisense RNA transcript catabolic process; rDNA heterochromatin formation; and regulation of transcription by RNA polymerase II. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in ankylosing spondylitis; breast cancer; descending colon cancer; high grade glioma; and intellectual disability (multiple). Orthologous to several human genes including KDM5A (lysine demethylase 5A); KDM5B (lysine demethylase 5B); and KDM5C (lysine demethylase 5C). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ENT3,853589,N/A,"Enables clathrin binding activity; phosphatidylinositol-3,5-bisphosphate binding activity; and phosphatidylinositol-3-phosphate binding activity. Involved in actin cytoskeleton organization; cytosolic transport; and late endosome to vacuole transport via multivesicular body sorting pathway. Located in endosome. Part of clathrin vesicle coat. Orthologous to human CLINT1 (clathrin interactor 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RSF2,853592,N/A,"Enables sequence-specific DNA binding activity. Involved in regulation of DNA-templated transcription. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
DAN4,853616,N/A,"Predicted to be a structural constituent of cell wall. Predicted to be involved in fungal-type cell wall organization. Located in fungal-type cell wall. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
AAD10,853620,N/A,"Predicted to enable aryl-alcohol dehydrogenase (NADP+) activity. Predicted to be involved in aldehyde metabolic process. Orthologous to human AKR7A2 (aldo-keto reductase family 7 member A2) and AKR7A3 (aldo-keto reductase family 7 member A3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
THI11,853621,N/A,"Predicted to enable metal ion binding activity and transferase activity. Involved in thiamine biosynthetic process. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SOR1,853624,N/A,"Enables L-iditol 2-dehydrogenase (NAD+) activity. Involved in hexose metabolic process. Human ortholog(s) of this gene implicated in autosomal recessive distal hereditary motor neuronopathy 8. Orthologous to human SORD (sorbitol dehydrogenase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
MPH3,853625,N/A,"Predicted to enable carbohydrate:proton symporter activity and maltose transmembrane transporter activity. Involved in carbohydrate transport. Located in cell periphery and fungal-type vacuole. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
COS5,853626,N/A,"Involved in protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway. Located in endosome. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HCS1,853852,N/A,"Enables 5'-3' DNA helicase activity. Involved in postreplication repair. Part of DNA helicase A complex and nuclear replisome. Used to study Charcot-Marie-Tooth disease axonal type 2S and autosomal recessive distal hereditary motor neuronopathy 1. Human ortholog(s) of this gene implicated in Charcot-Marie-Tooth disease axonal type 2S and autosomal recessive distal hereditary motor neuronopathy 1. Orthologous to human IGHMBP2 (immunoglobulin mu DNA binding protein 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TUL1,853832,N/A,"Enables ubiquitin-protein transferase activity. Involved in protein ubiquitination and ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway. Located in Golgi apparatus. Part of Dsc E3 ubiquitin ligase complex. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
UGP1,853830,N/A,"Enables UTP:glucose-1-phosphate uridylyltransferase activity. Involved in UDP-alpha-D-glucose metabolic process and carbohydrate biosynthetic process. Located in cytoplasmic stress granule and plasma membrane. Used to study cancer. Human ortholog(s) of this gene implicated in developmental and epileptic encephalopathy 83. Orthologous to human UGP2 (UDP-glucose pyrophosphorylase 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
AIM26,853829,N/A,"Involved in autophagy of mitochondrion and macroautophagy. Located in mitochondrion. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RGT1,853828,N/A,"Enables DNA-binding transcription activator activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in glucose metabolic process; negative regulation of transcription by RNA polymerase II; and positive regulation of transcription by RNA polymerase II. Located in nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PHD1,853823,N/A,"Enables DNA-binding transcription factor activity. Involved in positive regulation of pseudohyphal growth and positive regulation of transcription by RNA polymerase II. Located in nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ANR2,853819,N/A,"Located in lipid droplet. Orthologous to human DENND11 (DENN domain containing 11). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YET1,853800,N/A,"Predicted to be involved in endoplasmic reticulum to Golgi vesicle-mediated transport and protein localization to endoplasmic reticulum exit site. Predicted to act upstream of or within intracellular protein transport and vesicle-mediated transport. Located in endoplasmic reticulum. Orthologous to human BCAP29 (B cell receptor associated protein 29). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
LHS1,853789,N/A,"Enables ATP binding activity; adenyl-nucleotide exchange factor activity; and unfolded protein binding activity. Involved in post-translational protein targeting to membrane, translocation and response to unfolded protein. Located in endoplasmic reticulum lumen. Human ortholog(s) of this gene implicated in immunodeficiency 59. Orthologous to human HYOU1 (hypoxia up-regulated 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
MDH1,853777,N/A,"Enables L-malate dehydrogenase (NAD+) activity and mRNA binding activity. Involved in tricarboxylic acid cycle. Located in mitochondrial matrix. Used to study developmental and epileptic encephalopathy 51. Human ortholog(s) of this gene implicated in developmental and epileptic encephalopathy 51. Orthologous to human MDH2 (malate dehydrogenase 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YKL091C,853771,N/A,"Enables phosphatidylcholine binding activity and phosphatidylinositol binding activity. Predicted to be involved in post-Golgi vesicle-mediated transport. Located in nucleus. Orthologous to several human genes including SEC14L2 (SEC14 like lipid binding 2); SEC14L3 (SEC14 like lipid binding 3); and SEC14L4 (SEC14 like lipid binding 4). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
MBR1,853769,N/A,"Involved in aerobic respiration. Predicted to be located in mitochondrion. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YJU3,853768,N/A,"Enables monoacylglycerol lipase activity. Involved in triglyceride metabolic process. Located in lipid droplet and membrane. Orthologous to human MGLL (monoglyceride lipase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YKL103C,853758,N/A,"Enables metalloaminopeptidase activity. Involved in cytoplasm to vacuole targeting by the Cvt pathway. Located in fungal-type vacuole. Part of Cvt complex. Orthologous to human DNPEP (aspartyl aminopeptidase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YKL107W,853753,N/A,"Enables aldehyde dehydrogenase (NAD+) activity. Involved in response to furfural. Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
DGR2,853738,N/A,"Orthologous to human WDR44 (WD repeat domain 44). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SSH4,853735,N/A,"Enables ubiquitin-like ligase-substrate adaptor activity. Involved in protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway. Located in fungal-type vacuole. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
MYO3,853729,N/A,"Predicted to enable actin filament binding activity and microfilament motor activity. Involved in actin cortical patch localization and positive regulation of Arp2/3 complex-mediated actin nucleation. Acts upstream of or within reticulophagy. Located in cell periphery. Human ortholog(s) of this gene implicated in focal segmental glomerulosclerosis 6. Orthologous to several human genes including MYO1E (myosin IE). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
RMA1,853727,N/A,"Predicted to enable dihydrofolate synthase activity and tetrahydrofolylpolyglutamate synthase activity. Predicted to be involved in folic acid-containing compound biosynthetic process. Predicted to act upstream of or within dihydrofolate biosynthetic process; one-carbon metabolic process; and tetrahydrofolylpolyglutamate biosynthetic process. Located in mitochondrion. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YKL133C,853725,N/A,"Predicted to enable misfolded protein binding activity. Predicted to be involved in protein quality control for misfolded or incompletely synthesized proteins. Located in mitochondrion. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TGL1,853717,N/A,"Enables sterol ester esterase activity. Involved in sterol metabolic process. Located in lipid droplet and membrane. Human ortholog(s) of this gene implicated in Wolman disease; autosomal recessive congenital ichthyosis 8; and cholesterol ester storage disease. Orthologous to several human genes including LIPA (lipase A, lysosomal acid type); LIPF (lipase F, gastric type); and LIPJ (lipase family member J). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
MRP8,853715,N/A,"Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
MCR1,853707,N/A,"Enables cytochrome-b5 reductase activity, acting on NAD(P)H. Involved in cellular response to oxidative stress and ergosterol biosynthetic process. Located in mitochondrial intermembrane space and mitochondrial outer membrane. Orthologous to human CYB5RL (cytochrome b5 reductase like). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
NNR2,853706,N/A,"Enables ATP-dependent NAD(P)H-hydrate dehydratase activity. Involved in nicotinamide nucleotide metabolic process. Located in cytoplasm. Orthologous to human NAXD (NAD(P)HX dehydratase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GPM1,853705,N/A,"Enables phosphoglycerate mutase activity. Involved in gluconeogenesis and glycolytic process. Located in cytosol and mitochondrial intermembrane space. Human ortholog(s) of this gene implicated in familial erythrocytosis 8 and myoglobinuria. Orthologous to several human genes including PGAM1 (phosphoglycerate mutase 1) and PGAM2 (phosphoglycerate mutase 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YKL162C,853695,N/A,"Predicted to enable protein-arginine omega-N symmetric methyltransferase activity. Predicted to act upstream of or within chromatin remodeling and methylation. Located in mitochondrion. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
MCD4,853690,N/A,"Enables mannose-ethanolamine phosphotransferase activity. Involved in ATP transport and GPI anchor biosynthetic process. Located in endoplasmic reticulum; fungal-type cell wall; and fungal-type vacuole. Human ortholog(s) of this gene implicated in multiple congenital anomalies-hypotonia-seizures syndrome 1. Orthologous to human PIGN (phosphatidylinositol glycan anchor biosynthesis class N). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
KKQ8,853686,N/A,"Predicted to enable protein serine/threonine kinase activity. Predicted to be involved in intracellular monoatomic cation homeostasis. Predicted to act upstream of or within chromatin remodeling. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
NNK1,853683,N/A,"Enables protein kinase activity. Involved in proteolysis. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
STE3,853677,N/A,"Enables mating-type a-factor pheromone receptor activity. Involved in cytogamy and pheromone-dependent signal transduction involved in conjugation with cellular fusion. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FAT3,853648,N/A,"Involved in long-chain fatty acid transport. Located in cell periphery and mitochondrion. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HYM1,853646,N/A,"Predicted to enable protein serine/threonine kinase activator activity. Involved in budding cell apical bud growth; regulation of DNA-templated transcription; and septum digestion after cytokinesis. Located in cellular bud; incipient cellular bud site; and mating projection tip. Used to study cancer. Human ortholog(s) of this gene implicated in hepatocellular carcinoma. Orthologous to human CAB39 (calcium binding protein 39) and CAB39L (calcium binding protein 39 like). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SDS22,853641,N/A,"Enables protein phosphatase activator activity and protein serine/threonine phosphatase inhibitor activity. Involved in chromosome segregation and maintenance of protein location in nucleus. Located in nucleus. Part of protein phosphatase type 1 complex. Orthologous to human PPP1R7 (protein phosphatase 1 regulatory subunit 7). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ADD66,853629,N/A,"Involved in proteasome assembly. Located in cytosol. Human ortholog(s) of this gene implicated in proteosome-associated autoinflammatory syndrome 4. Orthologous to human PSMG2 (proteasome assembly chaperone 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
DOA1,853667,N/A,"Enables K48-linked polyubiquitin modification-dependent protein binding activity and ubiquitin binding activity. Involved in several processes, including double-strand break repair via nonhomologous end joining; mitochondria-associated ubiquitin-dependent protein catabolic process; and ribophagy. Located in cytoplasm and nucleus. Orthologous to human PLAA (phospholipase A2 activating protein). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
OXP1,853665,N/A,"Enables 5-oxoprolinase (ATP-hydrolyzing) activity. Involved in glutathione metabolic process. Located in cytoplasm. Orthologous to human OPLAH (5-oxoprolinase, ATP-hydrolysing). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
JEN1,853663,N/A,"Enables selenite:proton symporter activity. Involved in plasma membrane lactate transport; plasma membrane pyruvate transport; and plasma membrane selenite transport. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
OSH6,853872,N/A,"Enables phosphatidylinositol-3,4-bisphosphate binding activity; phospholipid binding activity; and sterol transfer activity. Involved in several processes, including maintenance of cell polarity; piecemeal microautophagy of the nucleus; and sterol homeostasis. Located in cortical endoplasmic reticulum. Orthologous to human OSBPL5 (oxysterol binding protein like 5) and OSBPL8 (oxysterol binding protein like 8). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FOX2,853878,N/A,"Enables 3-hydroxyacyl-CoA dehydrogenase activity and enoyl-CoA hydratase activity. Involved in fatty acid beta-oxidation. Located in peroxisome. Used to study lipid metabolism disorder. Human ortholog(s) of this gene implicated in D-bifunctional protein deficiency; Perrault syndrome; and Stiff-Person syndrome. Orthologous to human HSD17B4 (hydroxysteroid 17-beta dehydrogenase 4). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YKR011C,853881,N/A,"Involved in cellular response to nutrient levels. Is active in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
PET10,853920,N/A,"Involved in aerobic respiration. Located in lipid droplet. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FMP46,853923,N/A,"Predicted to enable oxidoreductase activity. Involved in negative regulation of transport. Located in mitochondrion. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GLG1,853932,N/A,"Enables glycogenin glucosyltransferase activity. Involved in glycogen biosynthetic process. Predicted to be located in vacuole. Predicted to be active in cytoplasm. Human ortholog(s) of this gene implicated in glycogen storage disease and glycogen storage disease XV. Orthologous to human GYG1 (glycogenin 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GPT2,853941,N/A,"Enables glycerol-3-phosphate O-acyltransferase activity and glycerone-phosphate O-acyltransferase activity. Involved in phospholipid biosynthetic process and regulation of triglyceride metabolic process. Located in endoplasmic reticulum and lipid droplet. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ECM4,853951,N/A,"Enables glutathione transferase activity. Involved in glutathione metabolic process. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TGL4,853964,N/A,"Enables lipase activity and lysophosphatidic acid acyltransferase activity. Involved in cell budding; phospholipid metabolic process; and triglyceride metabolic process. Located in lipid droplet. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ESL2,853971,N/A,"Predicted to enable telomerase RNA binding activity and telomeric DNA binding activity. Predicted to be involved in nuclear-transcribed mRNA catabolic process, nonsense-mediated decay. Located in peroxisome. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SDC25,850644,N/A,"Predicted to enable guanyl-nucleotide exchange factor activity. Predicted to act upstream of or within cell division and small GTPase-mediated signal transduction. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YLL017W,2827706,N/A,"Predicted to act upstream of or within cell division. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
KNS1,850641,N/A,"Enables protein serine/threonine kinase activity and protein tyrosine kinase activity. Involved in negative regulation of transcription by RNA polymerase III. Located in cytoplasm and nucleus. Orthologous to several human genes including CLK1 (CDC like kinase 1); CLK2 (CDC like kinase 2); and CLK3 (CDC like kinase 3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
POM33,850637,N/A,"Involved in nuclear pore localization and nuclear pore organization. Located in endoplasmic reticulum. Part of nuclear pore. Is active in nuclear envelope. Orthologous to human TMEM33 (transmembrane protein 33). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SSA2,850636,N/A,"Enables ATP binding activity; tRNA binding activity; and unfolded protein binding activity. Involved in several processes, including SRP-dependent cotranslational protein targeting to membrane, translocation; proteasome-mediated ubiquitin-dependent protein catabolic process; and tRNA import into nucleus. Located in several cellular components, including fungal-type cell wall; fungal-type vacuole membrane; and mitochondrion. Is active in extracellular vesicle. Human ortholog(s) of this gene implicated in several diseases, including Kawasaki disease; artery disease (multiple); autoimmune disease of musculoskeletal system (multiple); neurodegenerative disease (multiple); and schizophrenia (multiple). Orthologous to several human genes including HSPA1L (heat shock protein family A (Hsp70) member 1 like); HSPA1A (heat shock protein family A (Hsp70) member 1A); and HSPA1B (heat shock protein family A (Hsp70) member 1B). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
HSP104,850633,N/A,"Enables several functions, including ATP hydrolysis activity; adenyl ribonucleotide binding activity; and unfolded protein binding activity. Involved in several processes, including cellular heat acclimation; protein folding; and protein unfolding. Located in cytoplasm and nuclear periphery. Part of TRC complex. Human ortholog(s) of this gene implicated in 3-methylglutaconic aciduria type 7a; 3-methylglutaconic aciduria type 7b; and severe congenital neutropenia. Orthologous to human CLPB (ClpB family mitochondrial disaggregase). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
FRA1,850630,N/A,"Predicted to enable metal ion binding activity and metalloaminopeptidase activity. Involved in cellular response to iron ion and negative regulation of transcription by RNA polymerase II. Located in cytosol. Human ortholog(s) of this gene implicated in acquired angioedema. Orthologous to several human genes including XPNPEP1 (X-prolyl aminopeptidase 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
UBI4,850620,N/A,"Enables protein tag activity. Involved in protein ubiquitination. Located in peroxisome. Orthologous to human UBC (ubiquitin C). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
VPS13,850619,N/A,"Enables phospholipid binding activity and phospholipid transfer activity. Involved in several processes, including protein retention in Golgi apparatus; reticulophagy; and vacuolar transport. Located in several cellular components, including nucleus-vacuole junction; prospore membrane; and vacuole-mitochondrion membrane contact site. Is active in organelle membrane contact site. Used to study Cohen syndrome and neurodegenerative disease (multiple). Human ortholog(s) of this gene implicated in Parkinson's disease 23; choreaacanthocytosis; and choreatic disease. Orthologous to human VPS13A (vacuolar protein sorting 13 homolog A) and VPS13C (vacuolar protein sorting 13 homolog C). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YLL058W,850668,N/A,"Enables O-acetylhomoserine sulfhydrylase activity. Involved in sulfur compound metabolic process. Predicted to be located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GTT2,850666,N/A,"Enables glutathione transferase activity. Involved in glutathione metabolic process. Located in mitochondrion. Human ortholog(s) of this gene implicated in several diseases, including autoimmune disease (multiple); cancer (multiple); cardiovascular system disease (multiple); eye disease (multiple); and lung disease (multiple). Orthologous to several human genes including GSTT1 (glutathione S-transferase theta 1); GSTT2 (glutathione S-transferase theta 2 (gene/pseudogene)); and GSTT2B (glutathione S-transferase theta 2B). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YLR001C,850687,N/A,"Located in fungal-type vacuole membrane and mitochondrion. Human ortholog(s) of this gene implicated in congestive heart failure and corneal dystrophy (multiple). Orthologous to several human genes including POSTN (periostin). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SSK1,850692,N/A,"Enables mitogen-activated protein kinase kinase kinase binding activity; phosphorelay response regulator activity; and protein kinase activator activity. Involved in several processes, including cellular response to acidic pH; cellular response to osmotic stress; and regulation of p38MAPK cascade. Is active in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TEN1,850696,N/A,"Enables single-stranded telomeric DNA binding activity; transcription elongation factor activity; and translation elongation factor binding activity. Involved in regulation of nucleobase-containing compound metabolic process and telomere maintenance. Part of CST complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SMF3,850721,N/A,"Predicted to enable cadmium ion transmembrane transporter activity and manganese ion transmembrane transporter activity. Involved in intracellular iron ion homeostasis and iron ion transport. Located in fungal-type vacuole membrane. Human ortholog(s) of this gene implicated in several diseases, including anemia (multiple); autoimmune disease (multiple); inflammatory bowel disease (multiple); leishmaniasis (multiple); and tuberculosis (multiple). Orthologous to human SLC11A1 (solute carrier family 11 member 1) and SLC11A2 (solute carrier family 11 member 2). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YLR035C-A,850724,N/A,"Predicted to enable RNA binding activity. Predicted to be involved in retrotransposition. Predicted to act upstream of or within several processes, including DNA metabolic process; transposition; and viral translational frameshifting. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
EMP46,850769,N/A,"Enables carbohydrate binding activity. Involved in endoplasmic reticulum to Golgi vesicle-mediated transport. Located in COPII-coated ER to Golgi transport vesicle and Golgi membrane. Human ortholog(s) of this gene implicated in autosomal dominant intellectual developmental disorder 69; autosomal recessive intellectual developmental disorder 52; factor V deficiency; and factor XIII deficiency. Orthologous to several human genes including LMAN1 (lectin, mannose binding 1); LMAN1L (lectin, mannose binding 1 like); and LMAN2 (lectin, mannose binding 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
APC9,850792,N/A,"Contributes to ubiquitin protein ligase activity. Involved in chromatin organization and protein ubiquitination. Part of anaphase-promoting complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
LCL2,850794,N/A,"Involved in ERAD pathway. Located in fungal-type vacuole. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HOG1,850803,N/A,"Enables MAP kinase activity; calmodulin binding activity; and chromatin binding activity. Involved in several processes, including cellular response to osmotic stress; positive regulation of transcription by RNA polymerase II; and regulation of cell cycle process. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in several diseases, including abdominal aortic aneurysm; carcinoma (multiple); chronic mucocutaneous candidiasis; colorectal cancer (multiple); and intestinal benign neoplasm (multiple). Orthologous to several human genes including MAPK12 (mitogen-activated protein kinase 12) and MAPK13 (mitogen-activated protein kinase 13). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YPS1,850811,N/A,"Enables aspartic-type endopeptidase activity. Involved in fungal-type cell wall organization; protein maturation; and signal transduction involved in filamentous growth. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YPS3,850812,N/A,"Enables aspartic-type endopeptidase activity. Involved in fungal-type cell wall organization. Located in plasma membrane. Human ortholog(s) of this gene implicated in Alzheimer's disease. Orthologous to human BACE2 (beta-secretase 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
USB1,850823,N/A,"Predicted to enable poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends. Involved in U6 snRNA 3'-end processing. Located in mitochondrion and nucleus. Human ortholog(s) of this gene implicated in poikiloderma with neutropenia. Orthologous to human USB1 (U6 snRNA biogenesis phosphodiesterase 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
CKI1,850824,N/A,"Enables choline kinase activity and ethanolamine kinase activity. Involved in phosphatidylcholine biosynthetic process and phosphatidylethanolamine biosynthetic process. Located in cytoplasm. Used to study epilepsy and microcephaly. Human ortholog(s) of this gene implicated in intellectual disability; megaconial type congenital muscular dystrophy; muscular dystrophy; narcolepsy; and recurrent hypersomnia. Orthologous to several human genes including CHKA (choline kinase alpha) and CHKB (choline kinase beta). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RKM5,850828,N/A,"Enables S-adenosylmethionine-dependent methyltransferase activity. Involved in protein methylation. Predicted to be part of protein-containing complex. Predicted to be active in cytosol. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PUT1,850833,N/A,"Enables proline dehydrogenase activity. Involved in proline catabolic process to glutamate. Located in mitochondrion. Human ortholog(s) of this gene implicated in amino acid metabolic disorder; hyperprolinemia type 1; and schizophrenia 4. Orthologous to human PRODH (proline dehydrogenase 1) and PRODH2 (proline dehydrogenase 2). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YLR149C,850841,N/A,N/A,N/A,N/A
PCD1,850844,N/A,"Enables 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity and coenzyme A diphosphatase activity. Involved in DNA repair. Located in peroxisome. Orthologous to human NUDT7 (nudix hydrolase 7). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YLR157C-B,850853,N/A,"Predicted to enable several functions, including DNA polymerase activity; RNA nuclease activity; and peptidase activity. Predicted to be involved in retrotransposition. Predicted to act upstream of or within several processes, including DNA metabolic process; transposition; and viral translational frameshifting. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
SHH4,850861,N/A,"Contributes to succinate dehydrogenase (quinone) activity. Involved in mitochondrial electron transport, succinate to ubiquinone. Located in mitochondrial inner membrane. Part of respiratory chain complex II (succinate dehydrogenase). Used to study paraganglioma. Human ortholog(s) of this gene implicated in Carney-Stratakis syndrome; mitochondrial complex II deficiency; and paraganglioma. Orthologous to human SDHD (succinate dehydrogenase complex subunit D). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YLR173W,850870,N/A,"Involved in cellular response to nitrogen starvation and negative regulation of macroautophagy. Is active in fungal-type vacuole membrane. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
IDP2,850871,N/A,"Enables isocitrate dehydrogenase (NADP+) activity. Involved in isocitrate metabolic process. Located in cytosol. Used to study high grade glioma. Human ortholog(s) of this gene implicated in several diseases, including D-2-hydroxyglutaric aciduria 2; carcinoma (multiple); hematologic cancer (multiple); high grade glioma (multiple); and lung cancer (multiple). Orthologous to several human genes including IDH1 (isocitrate dehydrogenase (NADP(+)) 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RFX1,850873,N/A,"Enables RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in negative regulation of transcription by RNA polymerase II and positive regulation of transcription by RNA polymerase II. Located in cytoplasm and nucleus. Orthologous to several human genes including RFX2 (regulatory factor X2) and RFX4 (regulatory factor X4). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YLR177W,850874,N/A,"Predicted to enable mRNA binding activity. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
